,sh,kingdom,phylum,class,order,family,genus,assignedLevel
7268,SH0912926.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,,,order
7272,SH0905553.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Crocicreas,genus
7274,SH1003811.09FU,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Trimorphomycetaceae,g__Saitozyma,genus
7286,SH1367426.09FU,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,genus
7291,SH0973274.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Tubeufiales,f__Tubeufiaceae,,family
7292,SH1022127.09FU,k__Fungi,p__Ascomycota,c__Archaeorhizomycetes,o__Archaeorhizomycetales,f__Archaeorhizomycetaceae,g__Archaeorhizomyces,genus
7295,SH0957048.09FU,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,,family
7300,SH1172185.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,f__Polyporaceae,g__Trametes,genus
7304,SH1077302.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Bionectriaceae,g__Clonostachys,genus
7307,SH0910109.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,,,order
7308,SH0910328.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,,,order
7315,SH1049293.09FU,k__Fungi,p__Ascomycota,c__Archaeorhizomycetes,o__Archaeorhizomycetales,,,order
7323,SH0892495.09FU,k__Fungi,p__Glomeromycota,,,,,phylum
7324,SH1310005.09FU,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,genus
7329,SH1134367.09FU,k__Fungi,p__Ascomycota,c__Archaeorhizomycetes,o__Archaeorhizomycetales,f__Archaeorhizomycetaceae,g__Archaeorhizomyces,genus
7347,SH0910263.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,,,order
7372,SH1134083.09FU,k__Fungi,p__Basidiomycota,c__Pucciniomycetes,o__Pucciniales,f__Pucciniaceae,g__Uromyces,genus
7424,SH1117333.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,,,,class
7429,SH1268631.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreaceae,g__Hypomyces,genus
7450,SH1264523.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Sporocadaceae,g__Distononappendiculata,genus
7462,SH1136701.09FU,k__Fungi,p__Chytridiomycota,,,,,phylum
7491,SH0940816.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,,family
7496,SH0940596.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,,family
7540,SH0902656.09FU,k__Fungi,p__Ascomycota,,,,,phylum
7542,SH1256161.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,,,order
7545,SH1001310.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Amylocorticiales,f__Amylocorticiaceae,g__Plicaturopsis,genus
7553,SH1108838.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,f__Polyporaceae,g__Polyporus,genus
7569,SH1279972.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,,,order
7576,SH1301977.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,,,,class
7582,SH0909959.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Cladophialophora,genus
7584,SH1019032.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Tricholomataceae,g__Melanoleuca,genus
7612,SH0943170.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Atheliales,,,order
7613,SH1198981.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Psathyrellaceae,g__Psathyrella,genus
7635,SH1262587.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Entolomataceae,g__Entoloma,genus
7637,SH1138496.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Boletales,f__Boletaceae,g__Exsudoporus,genus
7648,SH0910811.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Cladophialophora,genus
7652,SH1297563.09FU,k__Fungi,p__Mucoromycota,c__Endogonomycetes,o__GS21,,,order
7658,SH0920632.09FU,k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Lecanorales,f__Parmeliaceae,g__Parmelia,genus
7667,SH0909381.09FU,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,g__Orbilia,genus
7673,SH0881516.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Parachaetomium,genus
7678,SH1056439.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Trechisporales,f__Hydnodontaceae,,family
7679,SH1303436.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Cortinariaceae,g__Cortinarius,genus
7684,SH1219523.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,g__Amicodisca,genus
7691,SH1063344.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Tricholomataceae,g__Pleurocybella,genus
7728,SH1054031.09FU,k__Fungi,p__Zoopagomycota,,,,,phylum
7752,SH0909239.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,g__Polyozellus,genus
7771,SH1241012.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Mollisiaceae,g__Mollisia,genus
7778,SH1082418.09FU,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,genus
7781,SH1297312.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Sebacinales,f__Sebacinaceae,g__Sebacina,genus
7825,SH1068204.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymosphaeriaceae,g__Paracamarosporium,genus
7832,SH1169502.09FU,k__Fungi,p__Basidiomycota,,,,,phylum
7835,SH1106705.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,,,order
7838,SH1168519.09FU,k__Fungi,p__Kickxellomycota,c__GS19,,,,class
7849,SH0971237.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Cephalothecaceae,g__Phialemonium,genus
7855,SH0909288.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,g__Pseudotomentella,genus
7859,SH1222805.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,g__Tomentella,genus
7875,SH1111951.09FU,k__Fungi,p__Mucoromycota,c__Endogonomycetes,o__Endogonales,,,order
7877,SH1268963.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Ophiocordycipitaceae,g__Tolypocladium,genus
7886,SH1272049.09FU,k__Fungi,p__Mucoromycota,c__Mucoromycetes,o__Mucorales,f__Mucoraceae,g__Mucor,genus
7891,SH0973907.09FU,k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Peltigerales,f__Pannariaceae,g__Pannaria,genus
7904,SH1110391.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,,,order
7908,SH0880619.09FU,k__Fungi,p__Ascomycota,,,,,phylum
7918,SH0949299.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Microascales,f__Microascaceae,g__Scedosporium,genus
7928,SH1325089.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inocybe,genus
7935,SH1185374.09FU,k__Fungi,p__Zoopagomycota,c__Zoopagomycetes,o__Zoopagales,,,order
7938,SH1159447.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Sebacinales,f__Serendipitaceae,,family
7944,SH1298299.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Amanitaceae,g__Amanita,genus
7946,SH1235251.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Ophiostomatales,f__Ophiostomataceae,g__Sporothrix,genus
7967,SH1080133.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,g__Hyphodiscus,genus
7973,SH1049385.09FU,k__Fungi,p__Ascomycota,c__Archaeorhizomycetes,o__Archaeorhizomycetales,f__Archaeorhizomycetaceae,g__Archaeorhizomyces,genus
8002,SH0894129.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Cucurbitariaceae,g__Neocucurbitaria,genus
8003,SH1025836.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Tympanidaceae,,family
8006,SH0957299.09FU,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,genus
8017,SH0979818.09FU,k__Fungi,p__Ascomycota,,,,,phylum
8021,SH1163911.09FU,k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Saccharomycetales_fam_Incertae_sedis,g__Diutina,genus
8058,SH0982757.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_Incertae_sedis,g__Leohumicola,genus
8059,SH1218743.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Sebacinales,f__Serendipitaceae,g__Serendipita,genus
8071,SH1273591.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Diaporthales,f__Diaporthaceae,g__Diaporthe,genus
8079,SH0974396.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Myxotrichaceae,g__Oidiodendron,genus
8093,SH0993467.09FU,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,,family
8101,SH0904888.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Sebacinales,f__Serendipitaceae,g__Serendipita,genus
8154,SH1171395.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,,,order
8188,SH1037104.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inocybe,genus
8203,SH0888159.09FU,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Cystofilobasidiales,f__Mrakiaceae,g__Krasilnikovozyma,genus
8220,SH1202540.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,,,order
8223,SH1001213.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Magnaporthales,f__Magnaporthaceae,,family
8236,SH1094873.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,,,order
8246,SH0940602.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,,family
8253,SH1079026.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inocybe,genus
8271,SH0973366.09FU,k__Fungi,p__Glomeromycota,c__Archaeosporomycetes,o__Archaeosporales,,,order
8295,SH1127052.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Atheliales,f__Tylosporaceae,g__Amphinema,genus
8313,SH1009282.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Entolomataceae,g__Entoloma,genus
8317,SH1894900.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Pseudosperma,genus
8318,SH0994420.09FU,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,genus
8321,SH1331102.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,f__Podoscyphaceae,g__Rickiopora,genus
8322,SH0979932.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,g__Olla,genus
8325,SH0937521.09FU,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,,family
8334,SH0981127.09FU,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Diversisporales,f__Diversisporaceae,,family
8338,SH1149464.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Lyophyllaceae,g__Lyophyllum,genus
8340,SH1048561.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Tricholomataceae,g__Tricholoma,genus
8357,SH1150568.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Cortinariaceae,,family
8362,SH1065654.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Entolomataceae,g__Entoloma,genus
8368,SH1151965.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Cortinariaceae,,family
8385,SH0955845.09FU,k__Fungi,p__Glomeromycota,,,,,phylum
8398,SH0910622.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Capronia,genus
8408,SH1250942.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Cortinariaceae,g__Cortinarius,genus
8409,SH1261200.09FU,k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Lecanorales,f__Lecanoraceae,g__Lecanora,genus
8424,SH0955393.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,,,order
8436,SH0902461.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Gelatinodiscaceae,g__Neobulgaria,genus
8443,SH1094843.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,,,order
8445,SH0909606.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inocybe,genus
8446,SH1329429.09FU,k__Fungi,p__Ascomycota,c__Lecanoromycetes,,,,class
8452,SH0907242.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inocybe,genus
8457,SH0973407.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,,,order
8459,SH1247870.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Hymenochaetales,f__Hymenochaetales_fam_Incertae_sedis,g__Skvortzovia,genus
8468,SH1094541.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Venturiales,,,order
8478,SH1149434.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Lyophyllaceae,g__Tricholomella,genus
8483,SH0944352.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Venturiales,,,order
8493,SH0887062.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Capronia,genus
8494,SH1261526.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Ceratobasidiaceae,g__Ceratobasidium,genus
8503,SH1137182.09FU,k__Fungi,p__Ascomycota,,,,,phylum
8507,SH0982481.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,g__Lachnum,genus
8513,SH1067130.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Omphalotaceae,g__Paramycetinis,genus
8527,SH1105831.09FU,k__Fungi,p__Basidiomycota,c__Agaricostilbomycetes,o__Agaricostilbales,f__Ruineniaceae,g__Ruinenia,genus
8533,SH0895378.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,,family
8537,SH0966674.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,,,order
8555,SH1258310.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Togniniales,f__Togniniaceae,g__Phaeoacremonium,genus
8559,SH1278465.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Bankeraceae,g__Sarcodon,genus
8560,SH0893326.09FU,k__Fungi,p__Ascomycota,,,,,phylum
8563,SH0905803.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Coniochaetales,f__Coniochaetaceae,,family
8581,SH1297558.09FU,k__Fungi,p__Mucoromycota,c__Endogonomycetes,o__GS21,,,order
8582,SH1105678.09FU,k__Fungi,p__Chytridiomycota,,,,,phylum
8584,SH1095697.09FU,k__Fungi,p__Ascomycota,c__Archaeorhizomycetes,o__Archaeorhizomycetales,f__Archaeorhizomycetaceae,g__Archaeorhizomyces,genus
8585,SH0924692.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,g__Tomentella,genus
8586,SH0904421.09FU,k__Fungi,p__Ascomycota,,,,,phylum
8587,SH1304759.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Verrucariales,f__Verrucariaceae,g__Verrucaria,genus
8589,SH1255195.09FU,k__Fungi,p__Ascomycota,,,,,phylum
8620,SH1173768.09FU,k__Fungi,p__Rozellomycota,,,,,phylum
8652,SH1339175.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Humicola,genus
8653,SH1259018.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Cordycipitaceae,,family
8676,SH0955853.09FU,k__Fungi,p__Glomeromycota,c__Archaeosporomycetes,o__Archaeosporales,f__Archaeosporaceae,,family
8682,SH1090139.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreaceae,g__Sphaerostilbella,genus
8685,SH1370036.09FU,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,g__Orbilia,genus
8690,SH1218752.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Sebacinales,f__Serendipitaceae,g__Serendipita,genus
8696,SH1298863.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,,,order
8703,SH1341406.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,f__Steccherinaceae,g__Etheirodon,genus
8709,SH1129785.09FU,k__Fungi,p__Basidiomycota,c__Dacrymycetes,o__Dacrymycetales,f__Cerinomycetaceae,g__Cerinomyces,genus
8710,SH1043296.09FU,k__Fungi,p__Rozellomycota,,,,,phylum
8714,SH1077182.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Bionectriaceae,g__Clonostachys,genus
8715,SH1048182.09FU,k__Fungi,p__Ascomycota,c__Archaeorhizomycetes,o__Archaeorhizomycetales,f__Archaeorhizomycetaceae,g__Archaeorhizomyces,genus
8722,SH1112694.09FU,k__Fungi,p__Mucoromycota,c__Endogonomycetes,,,,class
8724,SH1153952.09FU,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,g__Arthrobotrys,genus
8733,SH1292502.09FU,k__Fungi,p__Glomeromycota,c__Archaeosporomycetes,o__Archaeosporales,,,order
8734,SH1066508.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreaceae,g__Trichoderma,genus
8746,SH1134226.09FU,k__Fungi,p__Glomeromycota,c__Archaeosporomycetes,o__Archaeosporales,f__Archaeosporaceae,g__Archaeospora,genus
8750,SH0880150.09FU,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,genus
8754,SH0909522.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,,,order
8755,SH1112153.09FU,k__Fungi,p__Rozellomycota,c__Rozellomycotina_cls_Incertae_sedis,o__GS05,,,order
8759,SH0943779.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Venturiales,,,order
8764,SH1112695.09FU,k__Fungi,p__Mucoromycota,c__Endogonomycetes,,,,class
8767,SH0916248.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Onygenales,,,order
8769,SH1124790.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,f__Steccherinaceae,g__Steccherinum,genus
8770,SH0958320.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,,,order
8771,SH1267527.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Tulasnellaceae,,family
8785,SH1240671.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Humicola,genus
8789,SH1106503.09FU,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,,family
8791,SH0886066.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,,,order
8794,SH1049388.09FU,k__Fungi,p__Ascomycota,c__Archaeorhizomycetes,o__Archaeorhizomycetales,f__Archaeorhizomycetaceae,,family
8796,SH0934780.09FU,k__Fungi,p__Glomeromycota,c__Archaeosporomycetes,o__Archaeosporales,f__Ambisporaceae,g__Ambispora,genus
8800,SH0981182.09FU,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Diversisporales,f__Diversisporaceae,g__Diversispora,genus
8809,SH1197567.09FU,k__Fungi,p__Mucoromycota,c__Endogonomycetes,,,,class
8819,SH0952131.09FU,k__Fungi,p__Ascomycota,,,,,phylum
8820,SH1193808.09FU,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pezizaceae,g__Pachyphlodes,genus
8861,SH1932855.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Hymenogastraceae,g__Gymnopilus,genus
8899,SH0922323.09FU,k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Ostropales,,,order
8928,SH0907588.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inocybe,genus
8959,SH1217096.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,f__Phanerochaetaceae,g__Phlebiopsis,genus
8960,SH1080663.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Pezizomycotina_fam_Incertae_sedis,g__Candelabrum,genus
8979,SH1055318.09FU,k__Fungi,p__Zoopagomycota,c__Zoopagomycetes,o__Zoopagales,,,order
8992,SH1000094.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,,,,class
9003,SH1239561.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Myxotrichaceae,g__Oidiodendron,genus
9016,SH1125975.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Mycenaceae,g__Mycena,genus
9022,SH0919062.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Typhulaceae,g__Typhula,genus
9048,SH1288191.09FU,k__Fungi,p__Basidiomycota,,,,,phylum
9054,SH1535751.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Magnaporthales,f__Pyriculariaceae,g__Neocordana,genus
9058,SH1171428.09FU,k__Fungi,p__Mucoromycota,c__Mucoromycetes,o__Mucorales,f__Mucoraceae,g__Mucor,genus
9082,SH1182693.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Bolbitiaceae,g__Conocybe,genus
9085,SH1047614.09FU,k__Fungi,p__Ascomycota,c__Archaeorhizomycetes,o__Archaeorhizomycetales,f__Archaeorhizomycetaceae,g__Archaeorhizomyces,genus
9117,SH1177372.09FU,k__Fungi,p__Ascomycota,,,,,phylum
9130,SH1047598.09FU,k__Fungi,p__Ascomycota,c__Archaeorhizomycetes,o__Archaeorhizomycetales,f__Archaeorhizomycetaceae,g__Archaeorhizomyces,genus
9143,SH1303681.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Cortinariaceae,g__Cortinarius,genus
9146,SH1112693.09FU,k__Fungi,p__Mucoromycota,c__Endogonomycetes,,,,class
9173,SH1106815.09FU,k__Fungi,p__Ascomycota,c__Archaeorhizomycetes,o__Archaeorhizomycetales,f__Archaeorhizomycetaceae,g__Archaeorhizomyces,genus
9188,SH1097664.09FU,k__Fungi,p__Ascomycota,,,,,phylum
9192,SH0943403.09FU,k__Fungi,p__Ascomycota,c__Sareomycetes,o__Sareales,f__Sareaceae,g__Sarea,genus
9229,SH0965244.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,,,,class
9233,SH0910349.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Capronia,genus
9245,SH0940889.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,,,order
9246,SH0920895.09FU,k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Lecanorales,f__Ramalinaceae,g__Japewia,genus
9286,SH1241024.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Mollisiaceae,g__Phialocephala,genus
9299,SH0899750.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Glomerellales,,,order
9303,SH0933918.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Venturiales,,,order
9326,SH0935488.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Russulales,f__Stereaceae,,family
9332,SH0979194.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,,family
9342,SH1198639.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Diaporthales,f__Valsaceae,g__Cytospora,genus
9344,SH1126780.09FU,k__Fungi,p__Mucoromycota,c__Endogonomycetes,,,,class
9345,SH1049384.09FU,k__Fungi,p__Ascomycota,c__Archaeorhizomycetes,o__Archaeorhizomycetales,,,order
9376,SH1101442.09FU,k__Fungi,p__Mucoromycota,c__Endogonomycetes,o__GS22,,,order
9378,SH1294471.09FU,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Venturiales,,,order
9381,SH0975286.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,,,,class
9383,SH1265257.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inocybe,genus
9386,SH1193647.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Hydnaceae,g__Sistotrema,genus
9387,SH1162862.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Strophariaceae,g__Galerina,genus
9391,SH0939926.09FU,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__GS33,,,order
9395,SH1164902.09FU,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,g__Retiarius,genus
9425,SH1080075.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Bionectriaceae,g__Geosmithia,genus
