,sh,kingdom,phylum,class,order,family,genus,assignedLevel
1091,SH1303922.09FU,k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Teloschistales,f__Teloschistaceae,g__Gyalolechia,genus
1092,SH1276585.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,g__Eriopezia,genus
1093,SH1049037.09FU,k__Fungi,p__Ascomycota,c__Archaeorhizomycetes,o__Archaeorhizomycetales,,,order
1094,SH0986568.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Rutstroemiaceae,g__Lambertella,genus
1096,SH1110194.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Hymenochaetales,f__Rickenellaceae,g__Sidera,genus
1097,SH0909832.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Capronia,genus
1098,SH1079079.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Mallocybe,genus
1099,SH0909846.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Cladophialophora,genus
1101,SH1132949.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Marasmiaceae,g__Marasmius,genus
1103,SH0908394.09FU,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,genus
1104,SH1292499.09FU,k__Fungi,p__Glomeromycota,c__Archaeosporomycetes,o__Archaeosporales,,,order
1105,SH1867755.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Hygrophoraceae,g__Hygrocybe,genus
1106,SH1298411.09FU,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Phaeomoniellales,,,order
1107,SH1208422.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Corticiales,f__Corticiaceae,,family
1109,SH1133828.09FU,k__Fungi,p__Chytridiomycota,,,,,phylum
1111,SH1078404.09FU,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Niessliaceae,g__Eucasphaeria,genus
