,sh,phylum,class,order,family,genus,species
15839,AB079126.1.1732,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Beauveria,Beauveria bassiana
15846,AB034908.1.1763,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Citeromyces,Citeromyces matritensis
15857,AB080090.1.1743,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Cordyceps,Cordyceps farinosa
15874,AB035713.1.2153,Basidiomycota,Cystobasidiomycetes,Erythrobasidiales,Erythrobasidiaceae,Bannoa,Bannoa ogasawarensis
15891,AB038423.1.1922,Ascomycota,Sordariomycetes,Microascales,Graphiaceae,Graphium,Graphium penicillioides
15897,AB035896.1.2122,Basidiomycota,Cystobasidiomycetes,Erythrobasidiales,Erythrobasidiaceae,Bannoa,Bannoa hahajimensis
15993,AB027337.1.1522,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium anisopliae
16057,AB018164.1.1791,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Citeromyces,Citeromyces matritensis
16118,AB035897.1.2117,Basidiomycota,Cystobasidiomycetes,Erythrobasidiales,Erythrobasidiaceae,Bannoa,Bannoa hahajimensis
16149,AB021674.1.1753,Basidiomycota,Cystobasidiomycetes,Incertae Sedis,Incertae Sedis,Buckleyzyma,Buckleyzyma kluyveri-nielii
16165,AB021693.1.1757,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodosporidiobolus,Rhodosporidiobolus ruineniae
16171,AB032614.1.1781,Basidiomycota,Tremellomycetes,Filobasidiales,Piskurozymaceae,Solicoccozyma,Solicoccozyma aeria
16187,AB032633.1.1782,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Goffeauzyma,Goffeauzyma gastrica
16210,AB032659.1.1782,Basidiomycota,Tremellomycetes,Tremellales,Cuniculitremaceae,Fellomyces,Fellomyces borneensis
16258,AB023943.1.1727,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Isaria,Cordyceps farinosa
16259,KF925450.1.1284,Ascomycota,Leotiomycetes,Incertae Sedis,Incertae Sedis,Xylogone,Xylogone sp. EM-2014
16310,AB044804.1.1791,Basidiomycota,Tremellomycetes,Tremellales,Cuniculitremaceae,Kockovaella,Kockovaella prillingeri
16312,AB045704.1.1776,Basidiomycota,Exobasidiomycetes,Georgefischeriales,Tilletiariaceae,Phragmotaenium,Phragmotaenium derxii
16328,KF938678.1.1670,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Wickerhamomyces,Wickerhamomyces orientalis
16344,AB053236.1.1735,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,[Candida] rugopelliculosa
16346,AB053242.1.1734,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,[Candida] ethanolica
16347,AB053247.1.1733,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia exigua
16401,AB085796.1.1782,Basidiomycota,Tremellomycetes,Tremellales,Rhynchogastremataceae,Papiliotrema,Papiliotrema flavescens
16480,AB048280.1.1780,Ascomycota,Sordariomycetes,Xylariales,Incertae Sedis,Surculiseries,Surculiseries rugispora
16498,AB053248.1.1731,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Saturnispora,Saturnispora silvae
16541,AB044634.1.1933,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Tolypocladium,Tolypocladium inflatum
16595,AB052559.1.1779,Basidiomycota,Tremellomycetes,Tremellales,Cuniculitremaceae,Kockovaella,Kockovaella thailandica
16605,AB035585.1.1789,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Cutaneotrichosporon,Cutaneotrichosporon dermatis
16618,KF954542.1.1725,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Penicillium sp. CD-1
16663,AB039378.1.1791,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Vanrija,Vanrija musci
16697,AB042221.1.1782,Basidiomycota,Tremellomycetes,Tremellales,Cuniculitremaceae,Kockovaella,Kockovaella vietnamensis
16704,AB054261.1.1752,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces maramus
16737,AB054279.1.1744,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Yamadazyma-Candida,Yamadazyma-Candida clade
16738,AB054286.1.1744,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Yamadazyma-Candida,Yamadazyma-Candida clade
16742,AB054544.1.1760,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Ogataea-Candida,Ogataea-Candida clade
16744,AB054552.1.1758,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Ogataea-Candida,Ogataea-Candida clade
16746,AB054555.1.1756,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Ogataea-Candida,Ogataea-Candida clade
16748,AB054563.1.1761,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Wickerhamomyces-Candida,Wickerhamomyces-Candida clade
16768,AB066645.1.1855,Basidiomycota,Agaricostilbomycetes,Incertae Sedis,Incertae Sedis,[Sporobolomyces],[Sporobolomyces] group
16773,AB070371.1.2140,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Isaria,Cordyceps tenuipes
16815,AB035582.1.1792,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Cutaneotrichosporon,Cutaneotrichosporon daszewskae
16828,AB045705.1.3318,Basidiomycota,Exobasidiomycetes,Georgefischeriales,Tilletiariaceae,Phragmotaenium,Phragmotaenium oryzicola
